Here is the modified text with the logical operators [AND], [OR], and [NOT] inserted:

Inclusion Criteria:
  -  Male [AND] female patients between 18 [AND] 80 years
  -  Diagnosed with permanent UVFP [AND] insufficient glottal closure [AND] planned type I thyroplasty with conventional implant
  -  Ability to co-operate with the investigator [AND] to comply with the requirements of the entire study

Exclusion Criteria:
  -  [NOT] Any other significant disease or disorder which, in the opinion of the investigator, may either put the participant at risk because of participation in the clinical investigation [OR] may influence the result of the clinical investigation, [OR] the participant's ability to participate in the clinical investigation
  -  Scheduled elective surgery [OR] other procedures requiring general anaesthesia during clinical investigation
  -  Had [NOT] medialization thyroplasty before
  -  Had [NOT] injection medialization laryngoplasty in the past two years
  -  Presence of [NOT] structural vocal fold lesions such as polyp [OR] nodules
  -  Status post [NOT] total cordectomy
  -  Previous [NOT] laryngeal framework surgery (any type of thyroplasty, arytenoid adduction)
  -  Significant [NOT] non-laryngeal speech abnormality (severe dysarthria determined by a panel of trained speech therapists)
  -  Severe [NOT] coagulopathy
